Date,Price,Open,High,Low,Vol.,Change %
19-Mar-20,240.51,239.25,247.38,232.22,281.41M,0.21%
18-Mar-20,240,236.25,248.37,228.02,322.58M,-5.06%
17-Mar-20,252.8,245.04,256.17,237.07,262.07M,5.40%
16-Mar-20,239.85,241.18,256.9,237.36,297.24M,-10.94%
14-Mar-20,269.32,269.32,269.32,269.32,-,0.00%
13-Mar-20,269.32,263.09,271.48,248.52,329.57M,8.55%
12-Mar-20,248.11,256,266.66,247.68,392.22M,-9.57%
11-Mar-20,274.36,280.7,281.94,270.88,256.42M,-4.87%
10-Mar-20,288.42,284.64,288.52,273.5,276.44M,5.17%
9-Mar-20,274.23,275.3,284.19,273.45,309.42M,-7.81%
6-Mar-20,297.46,293.15,298.78,290.23,228.67M,-1.65%
5-Mar-20,302.46,304.98,308.47,300.01,186.37M,-3.32%
4-Mar-20,312.86,306.12,313.1,303.33,176.61M,4.20%
3-Mar-20,300.24,309.5,313.84,297.57,300.14M,-2.86%
2-Mar-20,309.09,298.21,309.16,294.46,238.70M,4.33%
28-Feb-20,296.26,288.7,297.89,285.54,385.76M,-0.42%
27-Feb-20,297.51,305.46,311.56,297.51,284.35M,-4.49%
26-Feb-20,311.5,314.18,318.11,310.7,194.77M,-0.37%
25-Feb-20,312.65,323.94,324.61,311.69,218.91M,-3.03%
24-Feb-20,322.42,323.14,333.56,321.24,161.09M,-3.32%
21-Feb-20,333.48,335.47,335.81,332.58,113.79M,-1.03%
20-Feb-20,336.95,337.74,338.64,333.68,74.16M,-0.41%
19-Feb-20,338.34,337.79,339.08,337.48,48.82M,0.48%
18-Feb-20,336.73,336.51,337.67,335.21,57.34M,-0.26%
17-Feb-20,337.6,337.6,337.6,337.6,-,0.00%
14-Feb-20,337.6,337.51,337.73,336.2,64.58M,0.16%
13-Feb-20,337.06,335.86,338.12,335.56,54.50M,-0.11%
12-Feb-20,337.42,336.83,337.65,336.43,43.99M,0.64%
11-Feb-20,335.26,336.16,337.02,334.68,54.86M,0.17%
10-Feb-20,334.68,331.23,334.75,331.19,42.07M,0.75%
7-Feb-20,332.2,332.82,333.99,331.6,64.14M,-0.53%
6-Feb-20,333.98,333.91,334.19,332.8,50.36M,0.34%
5-Feb-20,332.86,332.27,333.09,330.67,65.95M,1.15%
4-Feb-20,329.06,328.07,330.01,327.72,62.57M,1.52%
3-Feb-20,324.12,323.35,326.16,323.22,69.24M,0.74%
31-Jan-20,321.73,327,327.17,320.73,113.85M,-1.82%
30-Jan-20,327.68,324.36,327.91,323.54,75.49M,0.32%
29-Jan-20,326.62,328.38,328.63,326.4,54.04M,-0.08%
28-Jan-20,326.89,325.06,327.85,323.6,63.83M,1.05%
27-Jan-20,323.5,323.03,325.12,322.66,84.06M,-1.60%
24-Jan-20,328.77,332.44,332.53,327.36,87.58M,-0.89%
23-Jan-20,331.72,330.63,332.17,329.41,51.96M,0.11%
22-Jan-20,331.34,332.24,332.95,331.17,48.91M,0.01%
21-Jan-20,331.3,330.9,332.18,330.82,77.74M,-0.20%
17-Jan-20,331.95,331.7,332.18,330.85,95.85M,0.31%
16-Jan-20,330.92,329.7,330.92,329.45,54.05M,0.83%
15-Jan-20,328.19,327.35,329.02,327.26,72.06M,0.23%
14-Jan-20,327.45,327.47,328.62,326.84,63.04M,-0.15%
13-Jan-20,327.95,326.39,327.96,325.92,47.26M,0.69%
10-Jan-20,325.71,327.29,327.46,325.2,53.06M,-0.29%
9-Jan-20,326.65,326.16,326.73,325.52,48.57M,0.68%
8-Jan-20,324.45,322.94,325.78,322.67,68.43M,0.53%
7-Jan-20,322.73,323.02,323.54,322.24,42.85M,-0.28%
6-Jan-20,323.64,320.49,323.73,320.36,55.76M,0.38%
3-Jan-20,322.41,321.16,323.64,321.1,77.78M,-0.76%
2-Jan-20,324.87,323.54,324.89,322.53,59.25M,0.94%
31-Dec-19,321.86,320.53,322.13,320.15,57.11M,0.24%
30-Dec-19,321.08,322.95,323.1,320.55,49.78M,-0.55%
27-Dec-19,322.86,323.74,323.8,322.28,42.55M,-0.02%
26-Dec-19,322.94,321.65,322.95,321.64,31.02M,0.53%
24-Dec-19,321.23,321.47,321.52,320.9,20.27M,0.00%
23-Dec-19,321.22,321.59,321.65,321.06,53.02M,0.15%
20-Dec-19,320.73,320.46,321.97,319.39,149.34M,-0.05%
19-Dec-19,320.9,319.8,320.98,319.52,85.39M,0.41%
18-Dec-19,319.59,320,320.25,319.53,48.20M,0.01%
17-Dec-19,319.57,319.92,320.25,319.48,61.13M,0.02%
16-Dec-19,319.5,319.22,320.15,317.25,82.84M,0.69%
13-Dec-19,317.32,316.87,318.67,316.02,81.55M,0.06%
12-Dec-19,317.13,314.43,317.99,314.17,96.59M,0.86%
11-Dec-19,314.42,314.03,314.7,313.44,53.52M,0.28%
10-Dec-19,313.53,313.82,314.55,312.81,53.11M,-0.11%
9-Dec-19,313.88,314.44,315.18,313.8,34.90M,-0.31%
6-Dec-19,314.87,314.12,315.31,314.11,48.96M,0.91%
5-Dec-19,312.02,312.23,312.25,310.58,40.78M,0.18%
4-Dec-19,311.46,310.7,312.12,310.32,49.19M,0.62%
3-Dec-19,309.55,308.65,309.64,307.13,75.17M,-0.67%
2-Dec-19,311.64,314.59,314.66,311.17,76.11M,-0.85%
29-Nov-19,314.31,314.86,315.13,314.06,36.59M,-0.37%
27-Nov-19,315.48,314.61,315.48,314.37,44.79M,0.45%
26-Nov-19,314.08,313.41,314.28,313.06,37.73M,0.23%
25-Nov-19,313.37,311.98,313.37,311.98,48.76M,0.78%
22-Nov-19,310.96,311.09,311.24,309.85,44.85M,0.22%
21-Nov-19,310.27,310.89,311.01,309.39,54.66M,-0.16%
20-Nov-19,310.77,311.28,311.85,309.06,79.70M,-0.37%
19-Nov-19,311.93,312.68,312.69,311.22,67.93M,-0.03%
18-Nov-19,312.02,311.53,312.28,311.03,49.33M,0.07%
15-Nov-19,311.79,311.02,311.84,310.26,62.71M,0.72%
14-Nov-19,309.55,308.79,309.64,308.09,52.00M,0.15%
13-Nov-19,309.1,307.91,309.54,307.66,54.46M,0.03%
12-Nov-19,309,308.75,309.99,308.15,46.48M,0.21%
11-Nov-19,308.35,307.42,308.54,307.27,35.93M,-0.19%
8-Nov-19,308.94,307.8,309,307.03,49.07M,0.25%
7-Nov-19,308.18,308.57,309.65,307.66,54.27M,0.35%
6-Nov-19,307.1,307.03,307.4,306.06,46.49M,0.02%
5-Nov-19,307.03,307.59,307.92,306.71,42.93M,-0.11%
4-Nov-19,307.37,307.85,308,306.96,60.61M,0.40%
1-Nov-19,306.14,304.92,306.19,304.74,71.14M,0.93%
31-Oct-19,303.33,304.13,304.13,301.73,69.05M,-0.27%
30-Oct-19,304.14,303.43,304.55,301.99,49.64M,0.31%
29-Oct-19,303.21,303,304.23,302.86,44.28M,-0.03%
